R: 9, G: 90, B: 208
R: 90, G: 240, B: 90
R: 130, G: 90, B: 144
R: 90, G: 149, B: 90
R: 178, G: 90, B: 14
R: 90, G: 111, B: 90
R: 141, G: 90, B: 178
R: 90, G: 124, B: 90
R: 17, G: 90, B: 39
R: 90, G: 126, B: 90
R: 181, G: 90, B: 248
R: 90, G: 168, B: 90
R: 146, G: 90, B: 158
R: 90, G: 164, B: 90
R: 189, G: 90, B: 255
R: 90, G: 226, B: 90
R: 30, G: 90, B: 104
R: 90, G: 115, B: 90
R: 125, G: 90, B: 125
R: 90, G: 166, B: 90
R: 163, G: 90, B: 174
R: 90, G: 175, B: 90
R: 215, G: 90, B: 64
R: 90, G: 200, B: 90
R: 14, G: 90, B: 103
R: 90, G: 71, B: 90
R: 153, G: 90, B: 181
R: 90, G: 225, B: 90
R: 15, G: 90, B: 91
R: 90, G: 126, B: 90
R: 233, G: 90, B: 24
R: 90, G: 248, B: 90
R: 45, G: 90, B: 106
R: 90, G: 210, B: 90
R: 153, G: 90, B: 167
R: 90, G: 124, B: 90
R: 143, G: 90, B: 158
R: 90, G: 150, B: 90
R: 142, G: 90, B: 151
R: 90, G: 153, B: 90
R: 187, G: 90, B: 35
R: 90, G: 123, B: 90
R: 60, G: 90, B: 87
R: 90, G: 126, B: 90
R: 33, G: 90, B: 50
R: 90, G: 174, B: 90
R: 201, G: 90, B: 20
R: 90, G: 30, B: 90
R: 146, G: 90, B: 176
R: 90, G: 210, B: 90
R: 179, G: 90, B: 183
R: 90, G: 204, B: 90
R: 254, G: 90, B: 86
R: 90, G: 236, B: 90
R: 190, G: 90, B: 190
R: 90, G: 125, B: 90
R: 231, G: 90, B: 4
R: 90, G: 106, B: 90
R: 159, G: 90, B: 198
R: 90, G: 187, B: 90
R: 163, G: 90, B: 164
R: 90, G: 118, B: 90
R: 88, G: 90, B: 83
R: 90, G: 125, B: 90
R: 210, G: 90, B: 1
R: 90, G: 183, B: 90
R: 195, G: 90, B: 232
R: 90, G: 188, B: 90
R: 140, G: 90, B: 160
R: 90, G: 62, B: 90
R: 90, G: 90, B: 116
R: 90, G: 33, B: 90
R: 63, G: 90, B: 106
R: 90, G: 171, B: 90
R: 206, G: 90, B: 40
R: 90, G: 80, B: 90
R: 99, G: 90, B: 118
R: 90, G: 239, B: 90
R: 145, G: 90, B: 165
R: 90, G: 97, B: 90
R: 192, G: 90, B: 209
R: 90, G: 10, B: 90
R: 55, G: 90, B: 108
R: 90, G: 247, B: 90
R: 31, G: 90, B: 95
R: 90, G: 179, B: 90
R: 252, G: 90, B: 99
R: 90, G: 190, B: 90
R: 221, G: 90, B: 42
R: 90, G: 82, B: 90
R: 162, G: 90, B: 198
R: 90, G: 126, B: 90
R: 199, G: 90, B: 17
R: 90, G: 117, B: 90
R: 75, G: 90, B: 59
R: 90, G: 75, B: 90
R: 78, G: 90, B: 88
R: 90, G: 98, B: 90
R: 110, G: 90, B: 120
R: 90, G: 224, B: 90
R: 1, G: 90, B: 74
R: 90, G: 96, B: 90
R: 15, G: 90, B: 32
R: 90, G: 9, B: 90
R: 145, G: 90, B: 165
R: 90, G: 200, B: 90
R: 33, G: 90, B: 109
R: 90, G: 122, B: 90
R: 162, G: 90, B: 178
R: 90, G: 191, B: 90
R: 207, G: 90, B: 2
R: 90, G: 121, B: 90
R: 195, G: 90, B: 208
R: 90, G: 198, B: 90
R: 187, G: 90, B: 203
R: 90, G: 45, B: 90
R: 57, G: 90, B: 78
R: 90, G: 63, B: 90
R: 69, G: 90, B: 80
R: 90, G: 202, B: 90
R: 204, G: 90, B: 226
R: 90, G: 114, B: 90
R: 59, G: 90, B: 37
R: 90, G: 86, B: 90
R: 89, G: 90, B: 100
R: 90, G: 214, B: 90
R: 228, G: 90, B: 11
R: 90, G: 2, B: 90
R: 161, G: 90, B: 184
R: 90, G: 100, B: 90
R: 98, G: 90, B: 107
R: 90, G: 39, B: 90
R: 81, G: 90, B: 117
R: 90, G: 124, B: 90
R: 85, G: 90, B: 103
R: 90, G: 57, B: 90
R: 74, G: 90, B: 103
R: 90, G: 19, B: 90
R: 70, G: 90, B: 115
R: 90, G: 255, B: 90
R: 208, G: 90, B: 212
R: 90, G: 123, B: 90
R: 48, G: 90, B: 66
R: 90, G: 92, B: 90
R: 16, G: 90, B: 4
R: 90, G: 81, B: 90
R: 216, G: 90, B: 236
R: 90, G: 153, B: 90
R: 195, G: 90, B: 60
R: 90, G: 244, B: 90
R: 6, G: 90, B: 45
R: 90, G: 121, B: 90
R: 104, G: 90, B: 97
R: 90, G: 37, B: 90
R: 170, G: 90, B: 191
R: 90, G: 225, B: 90
R: 48, G: 90, B: 112
R: 90, G: 54, B: 90
R: 173, G: 90, B: 206
R: 90, G: 228, B: 90
R: 205, G: 90, B: 213
R: 90, G: 37, B: 90
R: 250, G: 90, B: 7
R: 90, G: 234, B: 90
R: 250, G: 90, B: 20
R: 90, G: 230, B: 90
R: 162, G: 90, B: 182
R: 90, G: 124, B: 90
R: 2, G: 90, B: 63
R: 90, G: 168, B: 90
R: 224, G: 90, B: 87
R: 90, G: 77, B: 90
R: 53, G: 90, B: 71
R: 90, G: 204, B: 90
R: 224, G: 90, B: 241
R: 90, G: 107, B: 90
R: 211, G: 90, B: 235
R: 90, G: 14, B: 90
R: 26, G: 90, B: 50
R: 90, G: 41, B: 90
R: 228, G: 90, B: 234
R: 90, G: 77, B: 90
R: 35, G: 90, B: 47
R: 90, G: 98, B: 90
R: 37, G: 90, B: 25
R: 90, G: 21, B: 90
R: 48, G: 90, B: 96
R: 90, G: 64, B: 90
R: 9, G: 90, B: 11
R: 90, G: 68, B: 90
R: 21, G: 90, B: 32
R: 90, G: 24, B: 90
R: 215, G: 90, B: 218
R: 90, G: 124, B: 90
R: 28, G: 90, B: 77
R: 90, G: 99, B: 90
R: 74, G: 90, B: 85
R: 90, G: 60, B: 90
R: 245, G: 90, B: 250
R: 90, G: 211, B: 90
R: 239, G: 90, B: 51
R: 90, G: 125, B: 90
R: 230, G: 90, B: 53
R: 90, G: 8, B: 90
R: 196, G: 90, B: 185
R: 90, G: 8, B: 90
R: 249, G: 90, B: 10
R: 90, G: 126, B: 90
R: 204, G: 90, B: 41
R: 90, G: 26, B: 90
R: 37, G: 90, B: 67
R: 90, G: 103, B: 90
R: 55, G: 90, B: 68
R: 90, G: 65, B: 90
R: 234, G: 90, B: 224
R: 90, G: 43, B: 90
R: 211, G: 90, B: 192
R: 90, G: 16, B: 90
R: 237, G: 90, B: 239
R: 90, G: 250, B: 90
R: 63, G: 90, B: 116
R: 90, G: 117, B: 90
R: 2, G: 90, B: 2
R: 90, G: 54, B: 90
R: 202, G: 90, B: 232
R: 90, G: 73, B: 90
R: 193, G: 90, B: 205
R: 90, G: 86, B: 90
R: 254, G: 90, B: 232
R: 90, G: 112, B: 90
R: 37, G: 90, B: 9
R: 90, G: 238, B: 90
R: 235, G: 90, B: 243
R: 90, G: 250, B: 90
R: 18, G: 90, B: 75
R: 90, G: 42, B: 90
R: 19, G: 90, B: 30
R: 90, G: 106, B: 90
R: 230, G: 90, B: 254
R: 90, G: 104, B: 90
R: 34, G: 90, B: 52
R: 90, G: 95, B: 90
R: 168, G: 90, B: 179
R: 90, G: 110, B: 90
R: 22, G: 90, B: 235
R: 90, G: 31, B: 90
R: 188, G: 90, B: 213
R: 90, G: 43, B: 90
R: 50, G: 90, B: 52
R: 90, G: 100, B: 90
R: 50, G: 90, B: 46
R: 90, G: 10, B: 90
R: 18, G: 90, B: 26
R: 90, G: 117, B: 90
R: 237, G: 90, B: 232
R: 90, G: 9, B: 90
R: 175, G: 90, B: 202
R: 90, G: 84, B: 90
R: 242, G: 90, B: 5
R: 90, G: 15, B: 90
R: 34, G: 90, B: 89
R: 90, G: 102, B: 90
R: 166, G: 90, B: 223
R: 90, G: 99, B: 90
R: 246, G: 90, B: 26
R: 90, G: 113, B: 90
R: 220, G: 90, B: 212
R: 90, G: 230, B: 90
R: 172, G: 90, B: 211
R: 90, G: 57, B: 90
R: 31, G: 90, B: 67
R: 90, G: 11, B: 90
R: 216, G: 90, B: 248
R: 90, G: 126, B: 90
R: 160, G: 90, B: 14
R: 90, G: 78, B: 90
R: 183, G: 90, B: 228
R: 90, G: 231, B: 90
R: 208, G: 90, B: 242
R: 90, G: 127, B: 90
R: 107, G: 90, B: 4
R: 90, G: 102, B: 90
R: 214, G: 90, B: 15
R: 90, G: 126, B: 90
R: 107, G: 90, B: 48
R: 90, G: 119, B: 90
R: 52, G: 90, B: 243
R: 90, G: 74, B: 90
R: 230, G: 90, B: 178
R: 90, G: 116, B: 90
R: 192, G: 90, B: 179
R: 90, G: 124, B: 90
R: 89, G: 90, B: 232
R: 90, G: 67, B: 90
R: 214, G: 90, B: 9
R: 90, G: 123, B: 90
R: 74, G: 90, B: 12
R: 90, G: 8, B: 90
R: 189, G: 90, B: 230
R: 90, G: 60, B: 90
R: 242, G: 90, B: 33
R: 90, G: 99, B: 90
R: 191, G: 90, B: 244
R: 90, G: 93, B: 90
R: 3, G: 90, B: 174
R: 90, G: 118, B: 90
R: 67, G: 90, B: 197
R: 90, G: 112, B: 90
R: 34, G: 90, B: 194
R: 90, G: 61, B: 90
R: 199, G: 90, B: 163
R: 90, G: 221, B: 90
R: 125, G: 90, B: 112
R: 90, G: 56, B: 90
R: 128, G: 90, B: 128
R: 90, G: 160, B: 90
R: 128, G: 90, B: 201
R: 90, G: 196, B: 90
R: 193, G: 90, B: 212
R: 90, G: 248, B: 90
R: 90, G: 90, B: 108
R: 90, G: 26, B: 90
R: 111, G: 90, B: 235
R: 90, G: 91, B: 90
R: 120, G: 90, B: 157
R: 90, G: 71, B: 90
R: 141, G: 90, B: 254
R: 90, G: 16, B: 90
R: 135, G: 90, B: 18
R: 90, G: 193, B: 90
R: 174, G: 90, B: 154
R: 90, G: 181, B: 90
R: 246, G: 90, B: 12
R: 90, G: 13, B: 90
R: 51, G: 90, B: 106
R: 90, G: 76, B: 90
R: 170, G: 90, B: 71
R: 90, G: 108, B: 90
R: 196, G: 90, B: 145
R: 90, G: 202, B: 90
R: 13, G: 90, B: 99
R: 90, G: 188, B: 90
R: 200, G: 90, B: 147
R: 90, G: 166, B: 90
R: 145, G: 90, B: 213
R: 90, G: 150, B: 90
R: 166, G: 90, B: 110
R: 90, G: 157, B: 90
R: 70, G: 90, B: 161
R: 90, G: 134, B: 90
R: 43, G: 90, B: 70
R: 90, G: 54, B: 90
R: 90, G: 90, B: 155
R: 90, G: 41, B: 90
R: 17, G: 90, B: 231
R: 90, G: 250, B: 90
R: 208, G: 90, B: 230
R: 90, G: 71, B: 90
R: 166, G: 90, B: 205
R: 90, G: 72, B: 90
R: 253, G: 90, B: 15
R: 90, G: 3, B: 90
R: 243, G: 90, B: 136
R: 90, G: 109, B: 90
R: 250, G: 90, B: 61
R: 90, G: 58, B: 90
R: 91, G: 90, B: 147
R: 90, G: 143, B: 90
R: 20, G: 90, B: 118
R: 90, G: 65, B: 90
R: 150, G: 90, B: 7
R: 90, G: 219, B: 90
R: 168, G: 90, B: 185
R: 90, G: 218, B: 90
R: 142, G: 90, B: 138
R: 90, G: 251, B: 90
R: 240, G: 90, B: 20
R: 90, G: 109, B: 90
R: 126, G: 90, B: 26
R: 90, G: 253, B: 90
R: 62, G: 90, B: 223
R: 90, G: 37, B: 90
R: 191, G: 90, B: 14
R: 90, G: 237, B: 90
R: 135, G: 90, B: 59
R: 90, G: 53, B: 90
R: 49, G: 90, B: 138
R: 90, G: 121, B: 90
R: 202, G: 90, B: 49
R: 90, G: 141, B: 90
R: 14, G: 90, B: 211
R: 90, G: 117, B: 90
R: 21, G: 90, B: 247
R: 90, G: 222, B: 90
R: 31, G: 90, B: 79
R: 90, G: 103, B: 90
R: 235, G: 90, B: 251
R: 90, G: 166, B: 90
R: 166, G: 90, B: 124
R: 90, G: 237, B: 90
R: 67, G: 90, B: 104
R: 90, G: 154, B: 90
R: 93, G: 90, B: 181
R: 90, G: 127, B: 90
R: 132, G: 90, B: 172
R: 90, G: 79, B: 90
R: 15, G: 90, B: 87
R: 90, G: 68, B: 90
R: 15, G: 90, B: 87
R: 90, G: 105, B: 90
R: 51, G: 90, B: 191
R: 90, G: 123, B: 90
R: 217, G: 90, B: 79
R: 90, G: 55, B: 90
R: 183, G: 90, B: 230
R: 90, G: 231, B: 90
R: 55, G: 90, B: 122
R: 90, G: 5, B: 90
R: 62, G: 90, B: 169
R: 90, G: 107, B: 90
R: 53, G: 90, B: 50
R: 90, G: 255, B: 90
R: 162, G: 90, B: 250
R: 90, G: 138, B: 90
R: 107, G: 90, B: 157
R: 90, G: 1, B: 90
R: 110, G: 90, B: 119
R: 90, G: 139, B: 90
R: 51, G: 90, B: 125
R: 90, G: 217, B: 90
R: 205, G: 90, B: 181
R: 90, G: 229, B: 90
R: 75, G: 90, B: 52
R: 90, G: 12, B: 90
R: 50, G: 90, B: 167
R: 90, G: 253, B: 90
R: 138, G: 90, B: 107
R: 90, G: 93, B: 90
R: 0, G: 90, B: 30
R: 90, G: 109, B: 90
R: 175, G: 90, B: 25
R: 90, G: 128, B: 90
R: 91, G: 90, B: 4
R: 90, G: 200, B: 90
R: 43, G: 90, B: 170
R: 90, G: 50, B: 90
R: 108, G: 90, B: 202
R: 90, G: 186, B: 90
R: 250, G: 90, B: 138
R: 90, G: 107, B: 90
R: 221, G: 90, B: 0
R: 90, G: 94, B: 90
R: 106, G: 90, B: 235
R: 90, G: 253, B: 90
R: 83, G: 90, B: 82
R: 90, G: 204, B: 90
R: 213, G: 90, B: 215
R: 90, G: 205, B: 90
R: 200, G: 90, B: 53
R: 90, G: 229, B: 90
R: 155, G: 90, B: 239
R: 90, G: 6, B: 90
R: 122, G: 90, B: 148
R: 90, G: 86, B: 90
R: 91, G: 90, B: 211
R: 90, G: 7, B: 90
R: 217, G: 90, B: 80
R: 90, G: 0, B: 90
R: 48, G: 90, B: 44
R: 90, G: 234, B: 90
R: 181, G: 90, B: 203
R: 90, G: 23, B: 90
R: 213, G: 90, B: 139
R: 90, G: 161, B: 90
R: 59, G: 90, B: 125
R: 90, G: 186, B: 90
R: 84, G: 90, B: 39
R: 90, G: 48, B: 90
R: 94, G: 90, B: 34
R: 90, G: 35, B: 90
R: 205, G: 90, B: 40
R: 90, G: 4, B: 90
R: 170, G: 90, B: 4
R: 90, G: 218, B: 90
R: 54, G: 90, B: 160
R: 90, G: 85, B: 90
R: 50, G: 90, B: 14
R: 90, G: 44, B: 90
R: 218, G: 90, B: 47
R: 90, G: 29, B: 90
R: 190, G: 90, B: 5
R: 90, G: 117, B: 90
R: 54, G: 90, B: 193
R: 90, G: 131, B: 90
R: 222, G: 90, B: 203
R: 90, G: 181, B: 90
R: 228, G: 90, B: 75
R: 90, G: 46, B: 90
R: 217, G: 90, B: 228
R: 90, G: 161, B: 90
R: 48, G: 90, B: 7
R: 90, G: 5, B: 90
R: 222, G: 90, B: 26
R: 90, G: 122, B: 90
R: 148, G: 90, B: 86
R: 90, G: 219, B: 90
R: 131, G: 90, B: 45
R: 90, G: 247, B: 90
R: 186, G: 90, B: 157
R: 90, G: 36, B: 90
R: 154, G: 90, B: 189
R: 90, G: 59, B: 90
R: 43, G: 90, B: 219
R: 90, G: 47, B: 90
R: 216, G: 90, B: 163
R: 90, G: 59, B: 90
R: 99, G: 90, B: 9
R: 90, G: 62, B: 90
R: 183, G: 90, B: 127
R: 90, G: 37, B: 90
R: 212, G: 90, B: 170
R: 90, G: 117, B: 90
R: 158, G: 90, B: 0
R: 90, G: 110, B: 90
R: 84, G: 90, B: 110
R: 90, G: 213, B: 90
R: 186, G: 90, B: 200
R: 90, G: 22, B: 90
R: 45, G: 90, B: 58
R: 90, G: 161, B: 90
R: 107, G: 90, B: 6
R: 90, G: 229, B: 90
R: 73, G: 90, B: 100
R: 90, G: 196, B: 90
R: 40, G: 90, B: 147
R: 90, G: 13, B: 90
R: 62, G: 90, B: 183
R: 90, G: 32, B: 90
R: 215, G: 90, B: 55
R: 90, G: 21, B: 90
R: 20, G: 90, B: 34
R: 90, G: 36, B: 90
R: 220, G: 90, B: 142
R: 90, G: 58, B: 90
R: 227, G: 90, B: 116
R: 90, G: 74, B: 90
R: 101, G: 90, B: 74
R: 90, G: 189, B: 90
R: 4, G: 90, B: 156
R: 90, G: 239, B: 90
R: 104, G: 90, B: 164
R: 90, G: 83, B: 90
R: 144, G: 90, B: 106
R: 90, G: 238, B: 90
R: 187, G: 90, B: 106
R: 90, G: 254, B: 90
R: 80, G: 90, B: 105
R: 90, G: 124, B: 90
R: 66, G: 90, B: 194
R: 90, G: 214, B: 90
R: 204, G: 90, B: 164
R: 90, G: 134, B: 90
R: 59, G: 90, B: 59
R: 90, G: 67, B: 90
R: 23, G: 90, B: 40
R: 90, G: 221, B: 90
R: 138, G: 90, B: 58
R: 90, G: 220, B: 90
R: 174, G: 90, B: 247
R: 90, G: 186, B: 90
R: 235, G: 90, B: 198
R: 90, G: 141, B: 90
R: 122, G: 90, B: 142
R: 90, G: 4, B: 90
R: 161, G: 90, B: 43
R: 90, G: 48, B: 90
R: 156, G: 90, B: 251
R: 90, G: 116, B: 90
R: 238, G: 90, B: 57
R: 90, G: 154, B: 90
R: 244, G: 90, B: 250
R: 90, G: 80, B: 90
R: 40, G: 90, B: 46
R: 90, G: 28, B: 90
R: 185, G: 90, B: 147
R: 90, G: 24, B: 90
R: 204, G: 90, B: 112
R: 90, G: 137, B: 90
R: 111, G: 90, B: 32
R: 90, G: 170, B: 90
R: 176, G: 90, B: 171
R: 90, G: 7, B: 90
R: 10, G: 90, B: 34
R: 90, G: 56, B: 90
R: 182, G: 90, B: 156
R: 90, G: 30, B: 90
R: 174, G: 90, B: 16
R: 90, G: 46, B: 90
R: 212, G: 90, B: 74
R: 90, G: 189, B: 90
R: 35, G: 90, B: 230
R: 90, G: 75, B: 90
R: 134, G: 90, B: 16
R: 90, G: 214, B: 90
R: 177, G: 90, B: 235
R: 90, G: 140, B: 90
R: 154, G: 90, B: 217
R: 90, G: 61, B: 90
R: 54, G: 90, B: 139
R: 90, G: 175, B: 90
R: 186, G: 90, B: 42
R: 90, G: 168, B: 90
R: 147, G: 90, B: 107
R: 90, G: 109, B: 90
R: 125, G: 90, B: 107
R: 90, G: 151, B: 90
R: 152, G: 90, B: 26
R: 90, G: 118, B: 90
R: 209, G: 90, B: 212
R: 90, G: 174, B: 90
R: 151, G: 90, B: 97
R: 90, G: 121, B: 90
R: 160, G: 90, B: 181
R: 90, G: 186, B: 90
R: 146, G: 90, B: 132
R: 90, G: 26, B: 90
R: 185, G: 90, B: 56
R: 90, G: 93, B: 90
R: 6, G: 90, B: 216
R: 90, G: 59, B: 90
R: 148, G: 90, B: 244
R: 90, G: 157, B: 90
R: 130, G: 90, B: 141
R: 90, G: 36, B: 90
R: 187, G: 90, B: 21
R: 90, G: 58, B: 90
R: 137, G: 90, B: 109
R: 90, G: 29, B: 90
R: 5, G: 90, B: 244
R: 90, G: 211, B: 90
R: 5, G: 90, B: 73
R: 90, G: 5, B: 90
R: 4, G: 90, B: 90
R: 90, G: 110, B: 90
R: 52, G: 90, B: 93
R: 90, G: 246, B: 90
R: 81, G: 90, B: 32
R: 90, G: 98, B: 90
R: 109, G: 90, B: 67
R: 90, G: 234, B: 90
R: 230, G: 90, B: 64
R: 90, G: 136, B: 90
R: 0, G: 90, B: 89
R: 90, G: 71, B: 90
R: 122, G: 90, B: 252
R: 90, G: 20, B: 90
R: 87, G: 90, B: 107
R: 90, G: 141, B: 90
R: 132, G: 90, B: 4
R: 90, G: 61, B: 90
R: 123, G: 90, B: 180
R: 90, G: 173, B: 90
R: 80, G: 90, B: 130
R: 90, G: 19, B: 90
R: 249, G: 90, B: 252
R: 90, G: 104, B: 90
R: 218, G: 90, B: 199
R: 90, G: 215, B: 90
R: 74, G: 90, B: 157
R: 90, G: 200, B: 90
R: 244, G: 90, B: 57
R: 90, G: 226, B: 90
R: 27, G: 90, B: 58
R: 90, G: 238, B: 90
R: 26, G: 90, B: 216
R: 90, G: 157, B: 90
R: 22, G: 90, B: 137
R: 90, G: 41, B: 90
R: 22, G: 90, B: 129
R: 90, G: 52, B: 90
R: 93, G: 90, B: 243
R: 90, G: 87, B: 90
R: 197, G: 90, B: 3
R: 90, G: 154, B: 90
R: 6, G: 90, B: 79
R: 90, G: 99, B: 90
R: 156, G: 90, B: 77
R: 90, G: 141, B: 90
R: 216, G: 90, B: 26
R: 90, G: 229, B: 90
R: 217, G: 90, B: 140
R: 90, G: 90, B: 90
R: 23, G: 90, B: 35
R: 90, G: 168, B: 90
R: 159, G: 90, B: 165
R: 90, G: 188, B: 90
R: 155, G: 90, B: 82
R: 90, G: 78, B: 90
R: 226, G: 90, B: 78
R: 90, G: 79, B: 90
R: 156, G: 90, B: 45
R: 90, G: 59, B: 90
R: 84, G: 90, B: 81
R: 90, G: 149, B: 90
R: 184, G: 90, B: 48
R: 90, G: 190, B: 90
R: 236, G: 90, B: 219
R: 90, G: 247, B: 90
R: 160, G: 90, B: 227
R: 90, G: 247, B: 90
R: 96, G: 90, B: 147
R: 90, G: 216, B: 90
R: 119, G: 90, B: 74
R: 90, G: 238, B: 90
R: 42, G: 90, B: 254
R: 90, G: 126, B: 90
R: 81, G: 90, B: 193
R: 90, G: 18, B: 90
R: 131, G: 90, B: 229
R: 90, G: 80, B: 90
R: 3, G: 90, B: 111
R: 90, G: 233, B: 90
R: 140, G: 90, B: 25
R: 90, G: 2, B: 90
R: 188, G: 90, B: 199
R: 90, G: 60, B: 90
R: 224, G: 90, B: 143
R: 90, G: 42, B: 90
R: 89, G: 90, B: 166
R: 90, G: 20, B: 90
R: 233, G: 90, B: 96
R: 90, G: 79, B: 90
R: 241, G: 90, B: 179
R: 90, G: 3, B: 90
R: 193, G: 90, B: 202
R: 90, G: 241, B: 90
R: 221, G: 90, B: 55
R: 90, G: 39, B: 90
R: 87, G: 90, B: 136
R: 90, G: 105, B: 90
R: 181, G: 90, B: 108
R: 90, G: 233, B: 90
R: 80, G: 90, B: 6
R: 90, G: 222, B: 90
R: 215, G: 90, B: 17
R: 90, G: 10, B: 90
R: 217, G: 90, B: 195
R: 90, G: 241, B: 90
R: 84, G: 90, B: 225
R: 90, G: 156, B: 90
R: 47, G: 90, B: 93
R: 90, G: 202, B: 90
R: 59, G: 90, B: 38
R: 90, G: 122, B: 90
R: 93, G: 90, B: 190
R: 90, G: 96, B: 90
R: 152, G: 90, B: 166
R: 90, G: 68, B: 90
R: 176, G: 90, B: 140
R: 90, G: 253, B: 90
R: 55, G: 90, B: 170
R: 90, G: 48, B: 90
R: 148, G: 90, B: 206
R: 90, G: 51, B: 90
R: 183, G: 90, B: 2
R: 90, G: 215, B: 90
R: 184, G: 90, B: 82
R: 90, G: 156, B: 90
R: 184, G: 90, B: 32
R: 90, G: 113, B: 90
